run,model,accuracy,f1_score
1,RandomForest,0.6204301075268818,0.6266097109290262
1,XGBoost,0.6311827956989248,0.6378360840886342
2,RandomForest,0.6204301075268818,0.627542978349768
2,XGBoost,0.6311827956989248,0.6378360840886342
3,RandomForest,0.6236559139784946,0.628387204073722
3,XGBoost,0.6311827956989248,0.6378360840886342
4,RandomForest,0.6268817204301075,0.6317172795453799
4,XGBoost,0.6311827956989248,0.6378360840886342
5,RandomForest,0.6301075268817204,0.635981854535686
5,XGBoost,0.6311827956989248,0.6378360840886342
6,RandomForest,0.6193548387096774,0.6253780242517206
6,XGBoost,0.6311827956989248,0.6378360840886342
7,RandomForest,0.621505376344086,0.6270038577573255
7,XGBoost,0.6311827956989248,0.6378360840886342
8,RandomForest,0.632258064516129,0.6362039409233446
8,XGBoost,0.6311827956989248,0.6378360840886342
9,RandomForest,0.635483870967742,0.6418385452422535
9,XGBoost,0.6311827956989248,0.6378360840886342
10,RandomForest,0.6344086021505376,0.6380359550970259
10,XGBoost,0.6311827956989248,0.6378360840886342
11,RandomForest,0.6311827956989248,0.6347452844652977
11,XGBoost,0.6311827956989248,0.6378360840886342
12,RandomForest,0.6301075268817204,0.6358260137825443
12,XGBoost,0.6311827956989248,0.6378360840886342
13,RandomForest,0.624731182795699,0.6304677719156275
13,XGBoost,0.6311827956989248,0.6378360840886342
14,RandomForest,0.6161290322580645,0.6221882189451747
14,XGBoost,0.6311827956989248,0.6378360840886342
15,RandomForest,0.6172043010752688,0.6241302192204378
15,XGBoost,0.6311827956989248,0.6378360840886342
16,RandomForest,0.6258064516129033,0.6295146255423829
16,XGBoost,0.6311827956989248,0.6378360840886342
17,RandomForest,0.6268817204301075,0.6301684226757146
17,XGBoost,0.6311827956989248,0.6378360840886342
18,RandomForest,0.6236559139784946,0.6290647708792035
18,XGBoost,0.6311827956989248,0.6378360840886342
19,RandomForest,0.6279569892473118,0.6324085798268054
19,XGBoost,0.6311827956989248,0.6378360840886342
20,RandomForest,0.6301075268817204,0.6341476126553003
20,XGBoost,0.6311827956989248,0.6378360840886342
21,RandomForest,0.621505376344086,0.6284731241835569
21,XGBoost,0.6311827956989248,0.6378360840886342
22,RandomForest,0.621505376344086,0.6288795710140727
22,XGBoost,0.6311827956989248,0.6378360840886342
23,RandomForest,0.624731182795699,0.6300641791429046
23,XGBoost,0.6311827956989248,0.6378360840886342
24,RandomForest,0.6236559139784946,0.6282490974620009
24,XGBoost,0.6311827956989248,0.6378360840886342
25,RandomForest,0.6225806451612903,0.6266686612367726
25,XGBoost,0.6311827956989248,0.6378360840886342
26,RandomForest,0.6225806451612903,0.6274567738310607
26,XGBoost,0.6311827956989248,0.6378360840886342
27,RandomForest,0.6311827956989248,0.6386295231455306
27,XGBoost,0.6311827956989248,0.6378360840886342
28,RandomForest,0.6258064516129033,0.6328638010517357
28,XGBoost,0.6311827956989248,0.6378360840886342
29,RandomForest,0.6311827956989248,0.637409675014717
29,XGBoost,0.6311827956989248,0.6378360840886342
30,RandomForest,0.6333333333333333,0.6387604401610368
30,XGBoost,0.6311827956989248,0.6378360840886342
31,RandomForest,0.632258064516129,0.635623075740237
31,XGBoost,0.6311827956989248,0.6378360840886342
32,RandomForest,0.6333333333333333,0.6372684722135216
32,XGBoost,0.6311827956989248,0.6378360840886342
33,RandomForest,0.6193548387096774,0.6263481305366448
33,XGBoost,0.6311827956989248,0.6378360840886342
34,RandomForest,0.6225806451612903,0.6284972803846895
34,XGBoost,0.6311827956989248,0.6378360840886342
35,RandomForest,0.635483870967742,0.6426589893921785
35,XGBoost,0.6311827956989248,0.6378360840886342
36,RandomForest,0.624731182795699,0.6301992092981875
36,XGBoost,0.6311827956989248,0.6378360840886342
37,RandomForest,0.621505376344086,0.6249513922815263
37,XGBoost,0.6311827956989248,0.6378360840886342
38,RandomForest,0.6268817204301075,0.6322573884562493
38,XGBoost,0.6311827956989248,0.6378360840886342
39,RandomForest,0.6150537634408603,0.6196335430953923
39,XGBoost,0.6311827956989248,0.6378360840886342
40,RandomForest,0.6311827956989248,0.6363062941043673
40,XGBoost,0.6311827956989248,0.6378360840886342
41,RandomForest,0.6236559139784946,0.6285414209003202
41,XGBoost,0.6311827956989248,0.6378360840886342
42,RandomForest,0.624731182795699,0.6314551741094906
42,XGBoost,0.6311827956989248,0.6378360840886342
43,RandomForest,0.635483870967742,0.639041332053813
43,XGBoost,0.6311827956989248,0.6378360840886342
44,RandomForest,0.6258064516129033,0.631445514292676
44,XGBoost,0.6311827956989248,0.6378360840886342
45,RandomForest,0.624731182795699,0.6292052426490985
45,XGBoost,0.6311827956989248,0.6378360840886342
46,RandomForest,0.6365591397849463,0.6412786959502474
46,XGBoost,0.6311827956989248,0.6378360840886342
47,RandomForest,0.6408602150537634,0.644095506208587
47,XGBoost,0.6311827956989248,0.6378360840886342
48,RandomForest,0.6311827956989248,0.6357381970311152
48,XGBoost,0.6311827956989248,0.6378360840886342
49,RandomForest,0.6225806451612903,0.6273182198911812
49,XGBoost,0.6311827956989248,0.6378360840886342
50,RandomForest,0.6193548387096774,0.6245830233171055
50,XGBoost,0.6311827956989248,0.6378360840886342
